id,nama,email,no_hp,tanggal_daftar,status
420,Gani Gunawan,gani420@hotmail.com,08795721328,21/02/2025,ACTIVE
421,salsa hakim,salsa.hakim@hotmail.com,08947680414,21-06-25,active
422,Hendra Puspita,hendra.pus22@outlook.com,08854038556,05/09/24,Active
423,Gani Syahputra,gani.sya23@hotmail.com,08686788057,27/07/24,ACTIVE
424,Budi Putri,budi424@outlook.com,08066565112,01/04/25,active
426,Maman Yuliana,maman_yuli@hotmail.com,08456736137,18-10-2024,INACTIVE
427,lina hamzah,lina427@hotmail.com,08661344121,2025-04-16,actve
428,budi aulia,budi.aul28@yahoo.com,08008375632,05/06/2025,Active
431,Qori Wijaya,qori.wijaya@hotmail.com,08925004643,06-07-24,actve
432,teguh putri,teguh.put32@yahoo.com,08767784437,27/03/2025,actve
433,Budi Anggraini,budi433@gmail.com,08185457142,16-02-2025,baned
434,mila hakim,mila.hakim@gmail.com,08213717162,07-02-25,BANNED
435,NINA SIREGAR,n.siregar@hotmail.com,08023929536,18-04-25,INACTIVE
436,intan hakim,intan_haki@gmail.com,08529200483,11/06/24,actve
437,Kiki Maulana,k.maulana@hotmail.com,08887102744,03/06/25,ACTIVE
438,Qori Aditya,qori.adi38@yahoo.com,08784101809,17-05-2025,banned
439,Fitri Permana,fitri.per39@yahoo.com,08029850285,17/07/24,aktive
441,Candra Siregar,candra_sire@mail.com,08013887403,07/06/24,ACTIVE
444,cici lestari,cici_lest@outlook.com,08738598121,07/05/2025,INACTIVE
445,Erwin Aditya,erwin.aditya@outlook.com,08025544056,15-06-25,inactve
446,fajar Wibowo,fajar_wibo@yahoo.com,08412987065,23-06-2025,inactve
447,HENDRA SAPUTRA,hendra447@mail.com,08472238702,08-06-25,inactive
448,Okta Hamzah,okta_hamz@hotmail.com,08358814488,21/12/2024,aktive
449,Jihan Rahmawati,j.rahmawati@yahoo.com,08344012496,22-04-25,inactive
450,VINA HAKIM,vina.hakim@yahoo.com,08964032734,10/09/24,inactive
452,joko Kurniawan,joko452@hotmail.com,08846943685,14/12/24,aktive
453,candra putri,candra453@outlook.com,08669652535,14/04/2025,inactve
454,Lukman Yuliana,l.yuliana@gmail.com,08285890687,09-05-25,banned
455,Dian Handayani,dian.handayani@hotmail.com,08752721159,23-12-24,active
456,bella gunawan,bella456@gmail.com,08916775388,08/11/2024,inactve
457,Intan Pratama,intan_prat@yahoo.com,08112397429,30/12/2024,inactve
458,Eka Heryani,eka458@outlook.com,08654809894,14/03/2025,actve
460,budi rahmawati,b.rahmawati@yahoo.com,08470207155,10-07-24,inactve
461,OKI PERMANA,oki.permana@yahoo.com,08449359205,30/03/25,BANNED
463,Mila Kusuma,mila_kusu@hotmail.com,08519719837,2025-02-17,BANNED
464,Rian Aulia,rian.aul64@mail.com,08149302197,12/07/2024,inactve
465,Joko Rahmawati,joko_rahm@hotmail.com,08839586947,30/01/25,active
466,Bella Ramadhani,bella466@gmail.com,08548159874,26/03/25,banned
467,Vina Maharani,vina.mah67@gmail.com,08058227092,2025-01-29,baned
468,Dedi Wibowo,d.wibowo@gmail.com,08108234174,25/05/2025,baned
469,Joko Gunawan,joko.gunawan@outlook.com,08385826722,26-09-24,actve
470,Oki Maharani,oki.mah70@hotmail.com,08879771758,20-05-2025,baned
471,Okta Maharani,okta_maha@hotmail.com,08499293100,11/06/24,baned
472,DEDI YULIANA,dedi.yuliana@mail.com,08711966724,13-04-2025,ACTIVE
474,Budi Putri,b.putri@mail.com,08761957969,2024-07-19,inactive
475,Zaki Firmansyah,zaki475@gmail.com,08945276779,2024-07-21,Active
477,Vina Anggraini,vina_angg@mail.com,08231163487,26/04/2025,banned
478,Mila Gunawan,mila.gun78@yahoo.com,08265649435,2024-09-11,actve
480,fitri Pangestu,fitri.pan80@gmail.com,08511183671,17/06/2024,active
481,Candra Lestari,candra_lest@yahoo.com,08654710711,13-04-2025,baned
482,hendra handayani,hendra.han82@hotmail.com,08716510889,07/12/24,banned
483,Lina Pangestu,lina_pang@hotmail.com,08075430306,30/12/24,actve
485,Ani Pangestu,a.pangestu@hotmail.com,08925068033,03-09-24,INACTIVE
486,Lina Putri,lina.putri@yahoo.com,08445206972,13/04/2025,inactve
487,Asep Anggraini,asep487@mail.com,08515248434,25-05-2024,BANNED
488,mila Siregar,mila_sire@outlook.com,08208386534,27/05/2024,banned
489,bella lestari,bella.lestari@yahoo.com,08624006086,19/01/2025,Active
490,Lina Permana,lina.permana@mail.com,08534665080,2025-04-13,actve
491,Hendra Handayani,h.handayani@outlook.com,08602624742,17-05-24,ACTIVE
492,Eka Puspita,eka492@outlook.com,08976797419,23/04/25,active
494,LUKMAN PRATAMA,lukman.pra94@outlook.com,08145569204,28/05/24,Active
496,Asep Hamzah,a.hamzah@mail.com,08254754578,30-06-25,banned
497,Indra Aulia,indra.aulia@hotmail.com,08667307714,16/06/24,baned
498,Kartika Handayani,kartika.handayani@hotmail.com,08314459493,2025-05-20,ACTIVE
499,dedi maharani,dedi499@gmail.com,08486517760,16-10-2024,actve
500,Vina Kurniawan,v.kurniawan@outlook.com,08436006247,20-05-25,baned
501,Putri Setiadi,putri_seti@yahoo.com,08194913784,27/01/25,active
502,Galih Permana,galih_perm@hotmail.com,08466931303,2025-05-26,aktive
503,DIAN SAPUTRA,dian.saputra@yahoo.com,08390730826,13/05/24,INACTIVE
504,Okta Kurniawan,okta.kurniawan@mail.com,08600277088,10-11-24,Active
505,Fitri Maulana,fitri.mau5@hotmail.com,08147615777,25/07/24,aktive
507,Dedi Hamzah,dedi507@gmail.com,08846408624,2024-12-21,banned
508,Rian Siregar,r.siregar@yahoo.com,08595314906,23/05/24,inactive
509,Jihan Ramadhani,jihan509@outlook.com,08769368542,2025-05-06,inactve
511,Dian Rahmawati,dian.rahmawati@outlook.com,08348986162,12-03-25,actve
512,Teguh Maharani,teguh.maharani@gmail.com,08895715647,24-06-2024,baned
513,umar santoso,umar_sant@yahoo.com,08910566756,18-10-2024,banned
514,Fajar Aditya,f.aditya@outlook.com,08874919241,2024-12-09,aktive
515,Erwin Pangestu,erwin.pangestu@gmail.com,08070413815,02/07/24,active
516,YANI MAULANA,yani516@mail.com,08131381804,2024-06-23,inactve
518,Vina Heryani,vina518@outlook.com,08858545113,02-06-25,active
519,OKTA ANGGRAINI,okta_angg@yahoo.com,08372426416,03-02-25,inactive
520,Jihan Handayani,jihan.handayani@hotmail.com,08522268925,06/07/2025,banned
521,Nina Setiadi,nina521@yahoo.com,08890159447,13-06-25,actve
522,salsa maulana,salsa.mau22@hotmail.com,08393978326,2025-02-02,BANNED
523,oki firmansyah,oki.firmansyah@hotmail.com,08759392888,2025-06-13,INACTIVE
524,fajar kusuma,f.kusuma@mail.com,08768311799,30/09/2024,actve
525,Putri Kurniawan,putri_kurn@mail.com,08650036418,22-05-2025,actve
526,Vina Maharani,vina.maharani@hotmail.com,08731153249,09/06/25,active
529,JOKO WIBOWO,j.wibowo@yahoo.com,08769715802,19-04-25,INACTIVE
530,erwin pangestu,erwin530@yahoo.com,08103985734,31-03-2025,inactive
531,Fajar Lestari,f.lestari@hotmail.com,08935861302,27/02/2025,baned
532,INDRA RAHMAWATI,indra.rah32@mail.com,08600491137,05-04-2025,aktive
533,dedi Ramadhani,dedi.ram33@gmail.com,08777558986,24-05-25,inactive
534,Indra Hamzah,i.hamzah@yahoo.com,08835102349,24-10-24,inactive
535,Fajar Siregar,fajar.siregar@gmail.com,08931311052,06/08/24,active
536,TEGUH PANGESTU,teguh536@outlook.com,08593075315,04-12-24,BANNED
537,Umar Handayani,umar.handayani@gmail.com,08132971457,28/05/24,INACTIVE
538,rian Rahmawati,rian.rahmawati@yahoo.com,08707028715,26-02-25,baned
540,Nando Anggraini,nando.ang40@mail.com,08494671824,21-07-2024,BANNED
541,Qori Putri,q.putri@hotmail.com,08714869465,03/07/2024,banned
542,Eka Firmansyah,eka542@mail.com,08623044824,25-01-2025,banned
543,Rian Nugraha,rian543@hotmail.com,08063080002,04/07/25,actve
545,Gani Lestari,gani_lest@hotmail.com,08513510942,23-02-25,inactive
546,Hendra Aditya,hendra.aditya@yahoo.com,08024251991,24/05/25,baned
547,Candra Maharani,candra.mah47@mail.com,08566481015,28/02/2025,banned
548,Vina Wibowo,v.wibowo@mail.com,08303300369,2024-07-27,BANNED
549,Hani Pangestu,h.pangestu@mail.com,08214821300,05/11/24,banned
551,Teguh Firmansyah,teguh_firm@yahoo.com,08899763940,26-12-24,BANNED
552,ANI HAMZAH,ani.ham52@mail.com,08305613031,02/07/2025,active
553,Okta Permana,o.permana@gmail.com,08921536434,23-06-24,inactive
554,Oki Setiadi,oki_seti@hotmail.com,08150776844,09-10-2024,INACTIVE
555,Ani Wijaya,ani.wijaya@mail.com,08188493127,06-08-24,active
556,Hendra Hakim,h.hakim@hotmail.com,08313426219,12-09-24,baned
557,Putri Wijaya,putri.wijaya@hotmail.com,08958121949,2024-11-05,inactive
558,asep Permana,asep.per58@hotmail.com,08777392529,11/06/24,inactive
559,Nina Putri,nina.put59@yahoo.com,08805300402,12-08-2024,inactve
560,Maman Anggraini,maman.ang60@mail.com,08293103382,2024-06-09,active
562,Qori Nugraha,qori_nugr@yahoo.com,08260546233,14-12-2024,baned
563,Asep Nugraha,asep_nugr@gmail.com,08589105954,02/07/2025,active
564,Yani Kusuma,yani564@mail.com,08833745797,2024-07-13,banned
565,Fitri Putri,f.putri@yahoo.com,08686121009,02/03/2025,ACTIVE
566,fitri Hakim,fitri_haki@outlook.com,08343402112,29-10-24,active
567,Cici Aulia,c.aulia@yahoo.com,08975852274,07/05/25,aktive
568,nando saputra,nando_sapu@gmail.com,08831865500,19-03-25,baned
569,Maman Aulia,maman_auli@yahoo.com,08950871165,01-11-24,INACTIVE
570,Maman Setiadi,maman570@hotmail.com,08094531075,08/12/24,inactve
571,gani maharani,gani.maharani@hotmail.com,08356202910,30/07/2024,BANNED
573,Joko Anggraini,j.anggraini@mail.com,08026374444,26/03/25,inactve
574,Zaki Heryani,zaki_hery@hotmail.com,08339028872,03/11/2024,inactive
575,Galih Aditya,galih.aditya@outlook.com,08285635761,08-06-2025,Active
576,Okta Firmansyah,okta.fir76@outlook.com,08414983755,2024-05-13,Active
577,Asep Santoso,asep_sant@mail.com,08902807140,03/06/2025,aktive
579,Dian Wibowo,d.wibowo@outlook.com,08085445983,19-06-24,inactve
580,Dian Syahputra,d.syahputra@yahoo.com,08474783007,29/01/25,inactive
581,Ani Putri,a.putri@hotmail.com,08711695013,12-07-24,inactive
582,Bella Hamzah,bella.hamzah@hotmail.com,08260015447,22/05/2025,BANNED
584,Joko Handayani,joko584@hotmail.com,08551671581,20-01-2025,baned
585,Umar Permana,umar_perm@outlook.com,08226860140,20-11-2024,aktive
586,Mila Aulia,mila586@outlook.com,08463875334,11/03/2025,baned
587,Fitri Pangestu,fitri_pang@hotmail.com,08326695926,11/02/25,ACTIVE
588,indra aditya,i.aditya@mail.com,08092856342,06/09/2024,banned
589,Maman Aditya,maman.aditya@yahoo.com,08557040350,10/06/25,ACTIVE
590,Indra Syahputra,i.syahputra@mail.com,08663675317,08-09-2024,actve
591,Nina Yuliana,nina.yuliana@mail.com,08267859835,20/03/25,ACTIVE
592,budi siregar,budi.siregar@hotmail.com,08066779487,01-04-25,inactve
593,Dian Santoso,dian.santoso@yahoo.com,08736017432,26/04/25,baned
596,Fajar Maulana,fajar_maul@outlook.com,08326674499,2024-08-17,banned
597,Eka Wibowo,eka.wibowo@mail.com,08718265227,25-09-2024,inactive
598,Zaki Setiadi,z.setiadi@gmail.com,08370302488,18/08/24,baned
599,WAWAN FIRMANSYAH,wawan_firm@yahoo.com,08529466330,29-06-24,aktive
600,Maman Setiadi,maman.setiadi@mail.com,08419479338,29-09-24,ACTIVE
601,Fajar Anggraini,fajar_angg@yahoo.com,08564660799,24/06/2024,Active
602,Teguh Setiadi,teguh.set2@hotmail.com,08097882618,23-09-2024,Active
603,Kiki Siregar,kiki.siregar@gmail.com,08585371257,2025-05-13,ACTIVE
604,maman Pratama,maman604@hotmail.com,08789473857,19-03-2025,actve
606,Rian Heryani,rian.her6@hotmail.com,08304385159,25-09-24,inactve
607,Eka Handayani,e.handayani@outlook.com,08893376090,23/04/25,actve
608,Galih Siregar,galih.sir8@hotmail.com,08069461638,2025-04-11,banned
609,Budi Hakim,budi.hakim@outlook.com,08434064348,01-04-25,inactve
610,FAJAR SANTOSO,fajar.san10@outlook.com,08525217709,30-04-2025,INACTIVE
611,dedi syahputra,dedi_syah@gmail.com,08995342508,2024-11-02,banned
613,TEGUH FIRMANSYAH,teguh_firm@outlook.com,08075597831,18/06/2024,ACTIVE
614,nina saputra,nina.saputra@mail.com,08133552088,14-03-25,BANNED
615,Joko Firmansyah,joko615@mail.com,08276011583,22/01/25,inactve
617,Kartika Pratama,k.pratama@hotmail.com,08719279538,17/12/2024,inactive
618,qori yuliana,qori618@outlook.com,08616394632,06/03/2025,inactve
619,Eka Gunawan,eka619@gmail.com,08391304039,11/04/2025,baned
620,Okta Gunawan,o.gunawan@hotmail.com,08539176395,01-08-24,banned
621,Dian Yuliana,dian.yuliana@yahoo.com,08501457509,01/03/25,INACTIVE
622,Indra Setiadi,indra622@outlook.com,08033863735,30-08-24,actve
623,Kartika Hakim,kartika.hak23@outlook.com,08034096317,15/06/25,BANNED
624,Nina Hamzah,nina624@gmail.com,08897496300,14-11-2024,ACTIVE
625,Dian Anggraini,d.anggraini@hotmail.com,08048516979,23/10/2024,inactve
626,Gani Nugraha,g.nugraha@gmail.com,08070116098,2024-08-25,baned
628,Putri Permana,putri628@mail.com,08793229206,21/12/24,Active
630,Putri Gunawan,putri.gun30@yahoo.com,08384162734,02-08-24,Active
631,Nina Hakim,nina.hak31@mail.com,08324363314,03-02-2025,INACTIVE
632,Nando Nugraha,nando.nugraha@gmail.com,08834134847,20-10-2024,actve
633,Qori Hakim,qori633@hotmail.com,08354874091,08-01-2025,baned
634,Salsa Santoso,salsa.santoso@yahoo.com,08944898699,2024-05-13,INACTIVE
635,candra wibowo,candra.wibowo@hotmail.com,08845118411,08-05-2025,banned
636,Kartika Ramadhani,kartika_rama@gmail.com,08849536897,27/11/24,BANNED
637,Eka Anggraini,eka.ang37@mail.com,08105185067,06/07/25,banned
639,Fajar Maharani,fajar_maha@outlook.com,08133750015,2024-10-20,INACTIVE
640,candra syahputra,candra.sya40@mail.com,08866151878,22-07-2024,ACTIVE
641,Erwin Hakim,erwin641@mail.com,08941216958,01-09-24,BANNED
642,Dian Maharani,dian_maha@yahoo.com,08180562507,30/05/2025,baned
643,Intan Permana,intan.permana@yahoo.com,08966679766,13-05-25,Active
644,eka nugraha,e.nugraha@hotmail.com,08772222614,21/03/25,BANNED
645,Ani Wibowo,a.wibowo@hotmail.com,08020538390,15/10/2024,inactve
647,Hendra Maharani,hendra647@gmail.com,08522905156,10/02/2025,actve
648,Nina Syahputra,nina.sya48@mail.com,08328438070,01/03/2025,active
650,Bella Lestari,b.lestari@yahoo.com,08529521439,18/06/25,banned
651,WAWAN HANDAYANI,w.handayani@yahoo.com,08208059189,25-09-2024,inactive
652,Joko Ramadhani,joko_rama@hotmail.com,08909448261,22-03-2025,inactve
653,Lina Lestari,lina_lest@hotmail.com,08275192763,07-05-25,Active
654,cici puspita,cici_pusp@gmail.com,08615771644,2024-08-05,active
655,cici hakim,cici_haki@mail.com,08171398171,06/07/25,BANNED
656,Qori Nugraha,qori.nugraha@yahoo.com,08871645974,11-06-24,aktive
657,Asep Maharani,a.maharani@mail.com,08445663406,31-07-2024,inactve
658,Ani Santoso,ani.san58@hotmail.com,08025161255,15/03/25,active
659,salsa Santoso,salsa.santoso@hotmail.com,08735614767,31/10/2024,baned
661,Nando Aditya,nando661@yahoo.com,08015792167,2024-12-11,Active
662,Maman Wibowo,maman.wib62@outlook.com,08497060663,06/08/2024,baned
664,Hendra Yuliana,h.yuliana@yahoo.com,08529884494,2024-07-21,actve
665,Wawan Saputra,wawan.saputra@mail.com,08160065710,2024-06-13,inactve
666,Budi Hakim,budi666@hotmail.com,08531888715,25-06-25,ACTIVE
667,umar maharani,umar.mah67@mail.com,08705286267,2024-10-16,active
668,Putri Saputra,p.saputra@gmail.com,08709037281,26/01/2025,baned
669,YANI SETIADI,yani.set69@gmail.com,08178267811,28-11-24,Active
670,fajar rahmawati,fajar_rahm@yahoo.com,08209842247,21/05/2024,actve
672,asep hakim,asep672@gmail.com,08923779911,02-08-2024,Active
673,Nando Saputra,n.saputra@hotmail.com,08797849249,11-05-25,inactive
674,gani Firmansyah,gani_firm@mail.com,08929477096,04-06-25,baned
675,Gani Maharani,gani675@gmail.com,08005242137,25-06-24,actve
676,Nando Rahmawati,nando676@gmail.com,08344101697,11/06/24,INACTIVE
677,Hendra Hakim,hendra.hak77@gmail.com,08411649819,16/02/25,Active
678,Cici Heryani,c.heryani@gmail.com,08608908937,2024-07-14,baned
679,Lukman Pratama,lukman.pra79@mail.com,08242494500,16/12/2024,actve
681,Dedi Nugraha,dedi681@gmail.com,08378510412,28-04-2025,INACTIVE
683,Oki Syahputra,o.syahputra@yahoo.com,08311967681,25/06/2024,ACTIVE
684,Yani Maharani,yani.maharani@gmail.com,08852864062,2025-03-21,banned
685,Mila Pratama,mila.pratama@hotmail.com,08209555112,10-08-24,INACTIVE
686,ani maulana,ani.mau86@yahoo.com,08003476133,2024-05-21,INACTIVE
687,Indra Hakim,indra.hakim@gmail.com,08781530073,06-09-24,ACTIVE
688,INDRA KURNIAWAN,i.kurniawan@outlook.com,08177053811,02-12-2024,aktive
689,budi Maulana,budi689@mail.com,08528779263,10-10-24,Active
690,GANI GUNAWAN,gani.gun90@hotmail.com,08753924331,2024-12-19,active
691,oki Syahputra,oki.sya91@yahoo.com,08897938542,2024-05-21,active
692,Budi Hakim,budi.hak92@hotmail.com,08670937436,23-11-2024,aktive
694,Ani Gunawan,ani_guna@outlook.com,08504021661,2025-05-30,banned
695,Intan Heryani,intan.heryani@yahoo.com,08573672588,11/06/2024,INACTIVE
696,Jihan Anggraini,jihan.anggraini@yahoo.com,08433404825,28/05/2024,inactve
698,Oki Setiadi,oki_seti@mail.com,08240522004,30-12-2024,Active
699,Intan Aulia,intan699@hotmail.com,08322494374,19/06/24,actve
700,Cici Putri,c.putri@hotmail.com,08163202904,01-05-2025,ACTIVE
701,Gani Yuliana,gani701@mail.com,08855329688,2024-07-26,ACTIVE
702,dian Ramadhani,d.ramadhani@yahoo.com,08789320245,24-01-25,banned
703,kartika Nugraha,k.nugraha@mail.com,08300186632,03/06/24,actve
705,Lina Firmansyah,l.firmansyah@yahoo.com,08973135907,08/05/2025,ACTIVE
706,Vina Setiadi,vina706@yahoo.com,08909657188,01-11-2024,BANNED
707,Joko Siregar,j.siregar@outlook.com,08212507050,22-05-25,INACTIVE
708,Fajar Pangestu,fajar708@gmail.com,08555630235,04/07/2024,banned
709,umar Firmansyah,umar_firm@mail.com,08869792905,10/05/25,INACTIVE
710,Cici Rahmawati,cici710@gmail.com,08729091014,16/01/2025,Active
711,WAWAN RAMADHANI,wawan_rama@yahoo.com,08873362668,11-07-24,inactve
712,Intan Lestari,intan712@yahoo.com,08798895954,27-02-2025,inactve
713,Nando Permana,nando_perm@yahoo.com,08888810230,24-06-25,inactive
716,Wawan Wibowo,wawan.wib16@outlook.com,08924653569,13-01-25,inactve
717,zaki Ramadhani,zaki.ram17@hotmail.com,08297837897,07/11/2024,baned
718,Rian Lestari,rian718@yahoo.com,08601505692,23/09/2024,active
719,Umar Wijaya,umar719@gmail.com,08571754667,16-06-25,aktive
720,Umar Putri,umar_putr@yahoo.com,08726924090,29/11/24,inactve
722,ERWIN NUGRAHA,erwin722@yahoo.com,08336033085,06-06-2025,actve
723,Vina Handayani,vina.handayani@gmail.com,08215765119,01-06-2025,aktive
724,Maman Siregar,m.siregar@mail.com,08020354075,19/03/25,Active
725,erwin Maharani,erwin725@outlook.com,08908577493,2024-10-21,Active
727,Budi Aditya,budi_adit@hotmail.com,08907502954,2025-03-01,BANNED
728,Erwin Lestari,e.lestari@hotmail.com,08420863148,24-07-24,BANNED
729,joko Hakim,joko729@yahoo.com,08569981467,2024-12-03,BANNED
730,umar Hamzah,umar730@hotmail.com,08245636601,26-05-24,active
732,Salsa Kusuma,salsa.kusuma@outlook.com,08289893022,17-04-25,inactve
733,intan Rahmawati,intan.rahmawati@yahoo.com,08861965613,2024-06-17,BANNED
734,Intan Wibowo,i.wibowo@mail.com,08447718927,2024-10-14,inactive
735,Putri Aditya,p.aditya@gmail.com,08798653275,04-09-2024,BANNED
736,Rian Wijaya,r.wijaya@mail.com,08283578178,29-07-24,inactve
738,Vina Heryani,vina.heryani@hotmail.com,08055062338,22-11-24,actve
739,indra gunawan,indra.gunawan@outlook.com,08971896925,29/03/2025,Active
740,Kiki Kusuma,kiki_kusu@mail.com,08413105819,05-12-2024,inactve
741,Jihan Wijaya,jihan_wija@mail.com,08319619681,2024-12-21,ACTIVE
742,okta wibowo,okta.wibowo@yahoo.com,08186581269,30/06/2024,INACTIVE
743,cici pangestu,cici743@gmail.com,08337131729,05-06-24,baned
744,Nando Rahmawati,nando.rah44@hotmail.com,08900259691,05-05-25,banned
745,RIAN ANGGRAINI,rian.ang45@mail.com,08472176938,08/06/24,actve
746,okta Kurniawan,o.kurniawan@gmail.com,08702873012,04/10/2024,actve
747,Umar Pratama,umar.pratama@gmail.com,08205323186,03-06-2025,ACTIVE
749,Vina Putri,vina749@gmail.com,08943753827,2025-06-24,Active
750,Budi Hakim,budi_haki@gmail.com,08914190998,27/08/2024,inactive
751,Vina Hakim,vina_haki@yahoo.com,08370332064,2024-08-05,Active
752,Kiki Ramadhani,k.ramadhani@hotmail.com,08259004486,23/06/24,active
754,Okta Hakim,okta_haki@gmail.com,08697232656,31-07-24,aktive
755,Nina Setiadi,nina_seti@yahoo.com,08879667665,16/01/25,active
756,bella pratama,bella756@gmail.com,08477325918,12-02-2025,actve
757,GANI ADITYA,gani.aditya@outlook.com,08098402068,22-02-2025,banned
758,Budi Syahputra,b.syahputra@yahoo.com,08678851047,05/06/24,inactve
760,Putri Handayani,p.handayani@outlook.com,08648968652,21/05/2025,banned
761,Maman Hakim,maman_haki@mail.com,08021374846,18/06/24,ACTIVE
762,candra Pangestu,candra.pangestu@gmail.com,08112078315,17/11/24,baned
763,Vina Wijaya,vina763@hotmail.com,08513299050,11-04-2025,INACTIVE
764,Indra Nugraha,indra764@gmail.com,08634723721,18/05/2024,banned
766,fitri Hakim,fitri.hakim@yahoo.com,08570473296,2024-11-06,inactive
767,Lukman Wibowo,lukman_wibo@hotmail.com,08079908775,28/02/2025,aktive
768,Yani Pratama,yani768@yahoo.com,08243347708,28/02/25,actve
769,Lukman Aditya,lukman769@gmail.com,08851258362,2025-02-23,ACTIVE
771,Salsa Heryani,salsa.her71@yahoo.com,08911196914,2024-10-31,inactve
772,Candra Maharani,candra_maha@mail.com,08621488467,10/08/2024,active
773,Intan Yuliana,i.yuliana@mail.com,08336275718,02-02-2025,active
774,Ani Pangestu,ani774@hotmail.com,08628703742,09/11/24,active
775,wawan firmansyah,wawan775@gmail.com,08639797330,25/07/24,BANNED
776,Cici Permana,cici.per76@yahoo.com,08206239984,07-07-2024,active
777,Kartika Setiadi,kartika_seti@mail.com,08052775430,28/07/2024,actve
778,Wawan Yuliana,wawan778@yahoo.com,08206833994,2025-01-12,inactive
779,Fitri Wijaya,fitri.wij79@outlook.com,08485654182,20-04-2025,active
780,Kiki Pratama,kiki.pra80@gmail.com,08970071372,24/06/2025,active
783,Vina Santoso,v.santoso@yahoo.com,08857118666,08-09-2024,inactive
784,Umar Hamzah,umar.hamzah@outlook.com,08700601521,09/01/2025,actve
785,Asep Saputra,asep_sapu@hotmail.com,08245090198,04/10/24,inactive
786,ANI RAMADHANI,ani.ramadhani@mail.com,08284773289,01/09/24,inactve
787,ANI SANTOSO,ani_sant@mail.com,08834680971,27-04-2025,baned
788,Fajar Pratama,fajar_prat@outlook.com,08082851319,13-04-25,active
789,Intan Maulana,intan_maul@gmail.com,08575148596,2024-12-14,inactve
790,Intan Wijaya,intan790@yahoo.com,08934022158,15-08-24,actve
791,Maman Permana,maman791@gmail.com,08611560698,31-01-2025,inactive
793,hani Hamzah,h.hamzah@hotmail.com,08666023085,21-04-25,BANNED
794,Eka Rahmawati,eka794@outlook.com,08145126469,18/03/2025,INACTIVE
795,Fajar Syahputra,f.syahputra@outlook.com,08903665617,2024-09-25,ACTIVE
796,Dian Yuliana,dian_yuli@hotmail.com,08989249132,15-01-2025,banned
797,qori aulia,qori.aulia@hotmail.com,08739148904,10/10/2024,banned
798,INDRA ANGGRAINI,i.anggraini@outlook.com,08045340224,19/06/25,aktive
800,Kiki Maulana,kiki.mau0@gmail.com,08295980779,10-03-2025,BANNED
801,Umar Wijaya,umar801@outlook.com,08809231993,10/06/25,BANNED
802,Cici Maulana,c.maulana@hotmail.com,08145343207,18/01/25,BANNED
804,Candra Wibowo,candra.wib4@outlook.com,08941012330,01-07-2025,inactve
805,Fitri Ramadhani,fitri_rama@outlook.com,08265337682,03-12-2024,active
806,rian Aditya,rian_adit@mail.com,08391185225,2025-01-27,baned
807,WAWAN AULIA,wawan_auli@yahoo.com,08522367419,17-03-25,inactive
808,Asep Pratama,asep808@mail.com,08045531307,2024-07-11,baned
809,Bella Kusuma,bella809@gmail.com,08293572799,02/04/25,inactve
810,Mila Ramadhani,mila_rama@outlook.com,08872711928,14/01/2025,ACTIVE
811,Kartika Hamzah,kartika.hamzah@hotmail.com,08068332764,10/10/24,ACTIVE
812,Jihan Aditya,jihan812@mail.com,08899308428,29/01/25,aktive
813,Asep Rahmawati,asep_rahm@yahoo.com,08397345517,2025-03-28,Active
815,Joko Heryani,joko.her15@hotmail.com,08145197674,2024-11-27,aktive
817,EKA SETIADI,eka.set17@outlook.com,08263494141,2024-09-18,active
818,MILA KURNIAWAN,mila.kur18@gmail.com,08565465785,23/04/2025,aktive
819,Cici Ramadhani,cici_rama@mail.com,08834289395,2024-07-21,inactive
820,rian santoso,rian820@gmail.com,08543361653,17/02/2025,actve
821,teguh Syahputra,teguh821@gmail.com,08584876151,2024-10-12,banned
822,eka anggraini,eka822@outlook.com,08842521864,2024-09-15,Active
823,ani pratama,ani.pra23@yahoo.com,08429178174,2025-03-29,active
824,kartika aulia,k.aulia@mail.com,08171636622,17-10-2024,INACTIVE
826,nina puspita,nina_pusp@gmail.com,08774552416,19/08/2024,inactive
827,jihan kusuma,j.kusuma@yahoo.com,08854133605,17-11-24,ACTIVE
828,hani heryani,hani.heryani@mail.com,08862070978,13/05/2025,baned
829,Bella Putri,bella829@gmail.com,08652943849,01/04/2025,baned
830,qori maharani,qori830@mail.com,08743114545,01/12/24,Active
831,kiki siregar,kiki.sir31@gmail.com,08658942467,03-09-2024,inactve
832,Qori Hakim,qori_haki@outlook.com,08398840759,30/05/2025,inactive
834,Qori Syahputra,qori.syahputra@mail.com,08542551564,08-07-2024,Active
835,dedi heryani,d.heryani@gmail.com,08453226809,29-06-24,INACTIVE
837,Hendra Nugraha,hendra.nug37@yahoo.com,08589578020,09-10-24,actve
838,Kiki Pangestu,kiki.pan38@yahoo.com,08569022394,12-07-2024,active
840,Jihan Pratama,jihan840@hotmail.com,08538226653,24/02/2025,Active
841,maman lestari,maman.lestari@mail.com,08091035988,26/09/2024,BANNED
842,Wawan Yuliana,wawan.yul42@yahoo.com,08309736079,26-10-2024,active
843,DEDI KURNIAWAN,dedi843@mail.com,08190327844,06/10/24,baned
844,FITRI ADITYA,fitri844@gmail.com,08190163133,22-07-2024,aktive
845,Dian Hakim,dian845@hotmail.com,08797903039,23-09-24,actve
846,Gani Kusuma,gani_kusu@gmail.com,08221856998,18-01-2025,aktive
